Rank	MName	#males	FName	#females
1	Noah	18,206	Sophia	21,171
2	Liam	18,111	Emma	20,905
3	Jacob	18,110	Olivia	18,397
4	Mason	17,668	Isabella	17,599
5	William	16,595	Ava	15,225
6	Ethan	16,216	Mia	13,127
7	Michael	15,453	Emily	13,107
8	Alexander	14,871	Abigail	12,387
9	Jayden	14,729	Madison	10,575
10	Daniel	14,251	Elizabeth	9,431
11	Elijah	13,743	Charlotte	9,285
12	Aiden	13,591	Avery	9,167
13	James	13,527	Sofia	9,148
14	Benjamin	13,460	Chloe	8,762
15	Matthew	13,304	Ella	8,428
16	Jackson	12,568	Harper	8,275
17	Logan	12,336	Amelia	8,023
18	David	12,334	Aubrey	7,950
19	Anthony	12,234	Addison	7,718
20	Joseph	12,195	Evelyn	7,653
21	Joshua	11,784	Natalie	7,465
22	Andrew	11,638	Grace	7,354
23	Lucas	11,525	Hannah	7,284
24	Gabriel	11,202	Zoey	7,224
25	Samuel	11,088	Victoria	7,190
26	Christopher	10,829	Lillian	7,062
27	John	10,687	Lily	6,976
28	Dylan	10,097	Brooklyn	6,875
29	Isaac	10,090	Samantha	6,494
30	Ryan	9,859	Layla	6,467
31	Nathan	9,690	Zoe	5,967
32	Caleb	9,570	Leah	5,597
33	Carter	9,560	Audrey	5,588
34	Luke	9,558	Allison	5,431
35	Christian	9,305	Anna	5,363
36	Hunter	8,942	Savannah	5,234
37	Henry	8,858	Aaliyah	5,217
38	Owen	8,748	Gabriella	5,204
39	Landon	8,727	Camila	5,141
40	Jack	8,564	Aria	5,107
41	Wyatt	8,538	Kaylee	5,105
42	Jonathan	8,524	Scarlett	5,048
43	Eli	7,921	Hailey	5,008
44	Isaiah	7,838	Arianna	4,987
45	Sebastian	7,538	Riley	4,925
46	Jaxon	7,534	Alexis	4,769
47	Julian	7,504	Nevaeh	4,751
48	Brayden	7,422	Sarah	4,686
49	Gavin	7,413	Claire	4,656
50	Levi	7,403	Sadie	4,644
51	Aaron	7,289	Peyton	4,556
52	Oliver	7,254	Aubree	4,438
53	Jordan	7,179	Serenity	4,429
54	Nicholas	7,126	Ariana	4,403
55	Evan	7,103	Genesis	4,292
56	Connor	7,099	Penelope	4,280
57	Charles	7,000	Alyssa	4,192
58	Jeremiah	6,933	Bella	4,166
59	Cameron	6,841	Taylor	4,131
60	Adrian	6,830	Alexa	4,095
61	Thomas	6,765	Kylie	4,019
62	Robert	6,690	Mackenzie	4,012
63	Tyler	6,632	Caroline	3,973
64	Austin	6,474	Kennedy	3,949
65	Colton	6,470	Autumn	3,945
66	Jace	6,375	Lucy	3,943
67	Angel	6,353	Ashley	3,936
68	Dominic	6,306	Madelyn	3,927
69	Josiah	6,286	Violet	3,924
70	Brandon	6,210	Stella	3,904
71	Ayden	6,060	Brianna	3,889
72	Kevin	5,924	Maya	3,814
73	Zachary	5,738	Skylar	3,780
74	Parker	5,659	Ellie	3,757
75	Blake	5,634	Julia	3,743
76	Jose	5,619	Sophie	3,740
77	Grayson	5,546	Katherine	3,711
78	Chase	5,527	Mila	3,676
79	Jason	5,492	Khloe	3,666
80	Ian	5,411	Paisley	3,598
81	Bentley	5,365	Annabelle	3,543
82	Adam	5,232	Nora	3,505
83	Xavier	4,962	Alexandra	3,503
84	Cooper	4,880	Melanie	3,465
85	Justin	4,857	London	3,448
86	Nolan	4,739	Naomi	3,435
87	Hudson	4,660	Gianna	3,434
88	Easton	4,639	Eva	3,423
89	Jase	4,549	Faith	3,392
90	Carson	4,524	Madeline	3,368
91	Nathaniel	4,512	Lauren	3,341
92	Jaxson	4,447	Nicole	3,341
93	Kayden	4,415	Ruby	3,304
94	Brody	4,323	Makayla	3,278
95	Lincoln	4,029	Kayla	3,252
96	Tristan	4,000	Lydia	3,246
97	Luis	3,997	Piper	3,179
98	Damian	3,961	Sydney	3,170
99	Camden	3,887	Jocelyn	3,144
100	Juan	3,877	Morgan	3,110
101	Vincent	3,845	Kimberly	3,094
102	Bryson	3,800	Molly	3,076
103	Ryder	3,768	Jasmine	3,047
104	Asher	3,703	Reagan	3,034
105	Micah	3,674	Bailey	3,008
106	Carlos	3,671	Eleanor	3,005
107	Jesus	3,665	Alice	2,932
108	Maxwell	3,632	Trinity	2,909
109	Mateo	3,580	Rylee	2,894
110	Alex	3,539	Hadley	2,825
111	Max	3,513	Andrea	2,813
112	Leo	3,503	Maria	2,807
113	Elias	3,490	Brooke	2,749
114	Cole	3,448	Isabelle	2,748
115	Miles	3,413	Mariah	2,744
116	Silas	3,397	Mya	2,688
117	Bryce	3,347	Brielle	2,686
118	Eric	3,252	Quinn	2,646
119	Brantley	3,186	Vivian	2,644
120	Sawyer	3,159	Mary	2,639
121	Declan	3,109	Natalia	2,627
122	Kaiden	3,095	Liliana	2,610
123	Braxton	3,093	Payton	2,609
124	Timothy	3,038	Lilly	2,604
125	Colin	3,037	Eliana	2,603
126	Santiago	3,026	Cora	2,583
127	Antonio	3,016	Jade	2,578
128	Giovanni	2,978	Paige	2,573
129	Hayden	2,958	Valentina	2,558
130	Diego	2,917	Kendall	2,511
131	Leonardo	2,905	Clara	2,504
132	Jonah	2,889	Elena	2,386
133	Bryan	2,885	Jordyn	2,379
134	Miguel	2,883	Kaitlyn	2,372
135	Roman	2,875	Delilah	2,338
136	Steven	2,869	Isabel	2,332
137	Kaleb	2,857	Rachel	2,303
138	Ivan	2,855	Destiny	2,295
139	Wesley	2,833	Amy	2,231
140	Richard	2,788	Mckenzie	2,209
141	Jaden	2,779	Gabrielle	2,208
142	Ezra	2,739	Brooklynn	2,152
143	Victor	2,723	Katelyn	2,143
144	Joel	2,720	Laila	2,137
145	Edward	2,698	Ariel	2,127
146	Aidan	2,661	Aurora	2,123
147	Jayce	2,655	Angelina	2,109
148	Preston	2,650	Aliyah	2,104
149	Greyson	2,643	Juliana	2,095
150	Brian	2,638	Ivy	2,092
151	Kaden	2,623	Adriana	2,089
152	Ashton	2,609	Vanessa	2,088
153	Alan	2,603	Sara	2,081
154	Patrick	2,589	Lyla	2,078
155	Kyle	2,577	Willow	2,071
156	Jesse	2,550	Reese	2,060
157	Riley	2,549	Hazel	2,051
158	George	2,543	Eden	2,040
159	Jeremy	2,520	Elise	2,015
160	Marcus	2,518	Josephine	2,009
161	Jude	2,509	Kinsley	1,973
162	Harrison	2,506	Ximena	1,957
163	Weston	2,482	Jessica	1,946
164	Ryker	2,478	Londyn	1,944
165	Alejandro	2,465	Gracie	1,939
166	Jake	2,442	Makenzie	1,933
167	Axel	2,425	Isla	1,910
168	Theodore	2,423	Michelle	1,886
169	Grant	2,418	Valerie	1,875
170	Maddox	2,413	Catherine	1,860
171	Emmanuel	2,393	Kylee	1,857
172	Cayden	2,379	Melody	1,852
173	Emmett	2,356	Adalynn	1,843
174	Brady	2,328	Jayla	1,832
175	Bradley	2,315	Alexia	1,822
176	Malachi	2,311	Valeria	1,815
177	Gael	2,305	Rebecca	1,791
178	Oscar	2,240	Izabella	1,779
179	Tucker	2,238	Adalyn	1,777
180	Abel	2,233	Margaret	1,769
181	Jameson	2,226	Alana	1,754
182	Abraham	2,211	Alaina	1,752
183	Caden	2,207	Luna	1,742
184	Mark	2,198	Alivia	1,740
185	Sean	2,191	Kate	1,737
186	Ezekiel	2,179	Norah	1,723
187	Kenneth	2,169	Summer	1,721
188	Gage	2,146	Kendra	1,720
189	Everett	2,142	Ryleigh	1,715
190	Nicolas	2,125	Lila	1,695
