Rank	MName	#males	FName	#females
1	Jacob	19,045	Sophia	22,279
2	Mason	18,953	Emma	20,914
3	Ethan	17,644	Isabella	19,082
4	Noah	17,323	Olivia	17,296
5	William	16,856	Ava	15,518
6	Liam	16,785	Emily	13,631
7	Michael	16,124	Abigail	12,679
8	Jayden	16,099	Mia	12,004
9	Alexander	15,219	Madison	11,380
10	Aiden	14,873	Elizabeth	9,685
11	Daniel	14,251	Chloe	9,647
12	Matthew	13,952	Ella	9,185
13	Elijah	13,833	Avery	8,313
14	James	13,393	Addison	8,170
15	Anthony	13,173	Aubrey	8,039
16	Benjamin	12,807	Lily	7,950
17	Joshua	12,632	Natalie	7,887
18	Andrew	12,599	Sofia	7,823
19	Joseph	12,524	Charlotte	7,471
20	David	12,507	Zoey	7,457
21	Jackson	12,468	Grace	7,365
22	Logan	12,455	Hannah	7,269
23	Christopher	11,873	Amelia	7,238
24	Gabriel	11,538	Harper	7,184
25	Samuel	11,433	Lillian	7,150
26	Ryan	10,931	Samantha	6,916
27	Lucas	10,692	Evelyn	6,870
28	John	10,607	Victoria	6,853
29	Nathan	10,406	Brooklyn	6,776
30	Isaac	10,032	Zoe	6,445
31	Dylan	9,979	Layla	6,255
32	Caleb	9,943	Hailey	5,902
33	Christian	9,603	Leah	5,762
34	Jonathan	9,343	Kaylee	5,607
35	Landon	9,335	Anna	5,604
36	Carter	9,246	Aaliyah	5,499
37	Luke	8,998	Gabriella	5,487
38	Owen	8,684	Allison	5,417
39	Brayden	8,492	Nevaeh	5,368
40	Gavin	8,247	Alexis	5,341
41	Wyatt	8,207	Audrey	5,294
42	Isaiah	8,136	Savannah	5,183
43	Henry	8,061	Sarah	5,174
44	Eli	8,051	Alyssa	5,080
45	Hunter	8,015	Claire	4,943
46	Jack	7,927	Taylor	4,858
47	Evan	7,890	Riley	4,820
48	Jordan	7,791	Camila	4,789
49	Nicholas	7,726	Arianna	4,709
50	Tyler	7,687	Ashley	4,696
51	Aaron	7,519	Brianna	4,631
52	Jeremiah	7,458	Sophie	4,568
53	Julian	7,364	Peyton	4,464
54	Cameron	7,350	Bella	4,337
55	Levi	7,211	Khloe	4,305
56	Brandon	7,023	Genesis	4,295
57	Angel	7,013	Alexa	4,290
58	Austin	6,988	Serenity	4,217
59	Connor	6,970	Kylie	4,166
60	Adrian	6,932	Aubree	4,043
61	Robert	6,929	Scarlett	4,041
62	Charles	6,925	Stella	3,996
63	Thomas	6,830	Maya	3,964
64	Sebastian	6,726	Katherine	3,946
65	Colton	6,347	Julia	3,874
66	Jaxon	6,298	Lucy	3,806
