Rank	MName	#males	FName	#females
1	Jacob	20,349	Sophia	21,824
2	Mason	19,493	Isabella	19,882
3	William	17,325	Emma	18,781
4	Jayden	16,968	Olivia	17,305
5	Noah	16,845	Ava	15,485
6	Michael	16,760	Emily	14,241
7	Ethan	16,674	Abigail	13,237
8	Alexander	15,688	Madison	12,371
9	Aiden	15,477	Mia	11,520
10	Daniel	15,258	Chloe	10,977
11	Anthony	14,250	Elizabeth	10,071
12	Matthew	14,154	Ella	9,580
13	Elijah	13,942	Addison	9,292
14	Joshua	13,739	Natalie	8,630
15	Liam	13,431	Lily	8,172
16	Andrew	13,262	Grace	7,627
17	James	13,236	Samantha	7,384
18	David	13,208	Avery	7,336
19	Benjamin	13,051	Sofia	7,324
20	Christopher	12,983	Aubrey	7,170
21	Logan	12,971	Brooklyn	7,158
22	Joseph	12,936	Lillian	6,909
23	Jackson	12,388	Victoria	6,880
24	Gabriel	12,324	Evelyn	6,704
25	Ryan	11,487	Hannah	6,560
26	Samuel	11,334	Alexis	6,511
27	John	11,027	Charlotte	6,421
28	Nathan	10,496	Zoey	6,394
29	Lucas	10,391	Leah	6,380
30	Christian	10,304	Amelia	6,363
31	Jonathan	10,218	Zoe	6,294
32	Caleb	10,016	Hailey	6,265
33	Dylan	9,765	Gabriella	6,086
34	Landon	9,745	Nevaeh	6,080
35	Isaac	9,589	Layla	6,074
36	Gavin	9,005	Kaylee	6,040
37	Brayden	9,002	Alyssa	6,005
38	Tyler	8,824	Anna	5,649
39	Luke	8,697	Sarah	5,547
40	Evan	8,649	Allison	5,460
41	Carter	8,594	Savannah	5,443
42	Nicholas	8,584	Ashley	5,398
43	Isaiah	8,512	Audrey	5,206
44	Owen	8,329	Taylor	5,187
45	Jack	8,177	Brianna	5,177
46	Jordan	8,050	Aaliyah	5,105
47	Brandon	7,805	Riley	5,030
48	Wyatt	7,673	Camila	4,968
49	Julian	7,611	Khloe	4,947
50	Aaron	7,610	Claire	4,895
51	Jeremiah	7,585	Sophie	4,725
52	Angel	7,526	Arianna	4,683
53	Cameron	7,506	Peyton	4,671
54	Connor	7,401	Harper	4,670
55	Hunter	7,352	Alexa	4,503
56	Adrian	7,327	Makayla	4,444
57	Henry	7,226	Julia	4,344
58	Eli	7,200	Kylie	4,341
59	Justin	7,099	Kayla	4,320
60	Austin	7,022	Bella	4,257
61	Charles	6,974	Katherine	4,184
62	Robert	6,959	Lauren	4,097
63	Thomas	6,904	Gianna	4,061
64	Zachary	6,795	Maya	4,013
65	Jose	6,757	Sydney	3,970
66	Levi	6,637	Serenity	3,851
67	Kevin	6,555	Kimberly	3,799
68	Sebastian	6,540	Mackenzie	3,788
69	Chase	6,183	Autumn	3,756
70	Ayden	6,122	Jocelyn	3,728
71	Jason	5,834	Faith	3,719
72	Ian	5,616	Lucy	3,697
73	Blake	5,605	Jasmine	3,689
74	Colton	5,588	Stella	3,689
75	Bentley	5,564	Morgan	3,666
76	Xavier	5,430	Alexandra	3,623
77	Dominic	5,423	Trinity	3,617
78	Oliver	5,406	Molly	3,611
79	Parker	5,280	Madelyn	3,602
80	Josiah	5,255	Scarlett	3,557
81	Adam	5,199	Andrea	3,507
82	Cooper	5,175	Genesis	3,504
83	Brody	5,071	Eva	3,465
84	Nathaniel	4,967	Ariana	3,448
85	Carson	4,920	Madeline	3,426
86	Jaxon	4,725	Brooke	3,368
87	Tristan	4,721	Caroline	3,364
88	Luis	4,689	Bailey	3,307
89	Juan	4,676	Melanie	3,284
90	Hayden	4,588	Destiny	3,256
91	Carlos	4,175	Kennedy	3,241
92	Nolan	4,165	Maria	3,215
93	Jesus	4,158	Naomi	3,184
94	Cole	4,136	London	3,163
95	Alex	4,023	Payton	3,145
96	Max	3,952	Lydia	3,082
97	Grayson	3,934	Ellie	3,060
98	Bryson	3,929	Mariah	2,979
99	Diego	3,819	Aubree	2,931
100	Jaden	3,802	Kaitlyn	2,906
101	Vincent	3,793	Violet	2,896
102	Easton	3,760	Rylee	2,870
103	Micah	3,753	Lilly	2,862
104	Eric	3,739	Angelina	2,858
105	Kayden	3,729	Mya	2,849
106	Jace	3,722	Katelyn	2,841
107	Aidan	3,711	Paige	2,812
108	Ryder	3,700	Natalia	2,798
109	Ashton	3,536	Ruby	2,762
110	Bryan	3,517	Piper	2,731
111	Riley	3,454	Annabelle	2,722
112	Hudson	3,440	Mary	2,704
113	Asher	3,411	Jade	2,668
114	Bryce	3,357	Isabelle	2,662
115	Miles	3,356	Liliana	2,658
116	Kaleb	3,330	Nicole	2,653
117	Giovanni	3,316	Rachel	2,653
118	Antonio	3,312	Gabrielle	2,620
119	Kaden	3,283	Jessica	2,620
120	Colin	3,265	Vanessa	2,616
121	Kyle	3,258	Jordyn	2,609
122	Brian	3,233	Reagan	2,605
123	Timothy	3,224	Sadie	2,595
124	Steven	3,203	Kendall	2,592
125	Sean	3,182	Valeria	2,536
126	Miguel	3,168	Brielle	2,498
127	Richard	3,159	Lyla	2,414
128	Ivan	3,105	Isabel	2,409
129	Jake	3,102	Brooklynn	2,408
130	Alejandro	3,085	Sara	2,386
131	Santiago	3,070	Reese	2,380
132	Joel	3,050	Adriana	2,318
133	Maxwell	3,049	Aliyah	2,294
134	Caden	3,043	Jennifer	2,277
135	Brady	3,040	Mckenzie	2,241
136	Axel	3,035	Nora	2,234
137	Preston	3,025	Gracie	2,233
138	Damian	3,004	Kylee	2,214
139	Elias	2,985	Makenzie	2,204
140	Jesse	2,960	Alice	2,192
141	Jaxson	2,956	Laila	2,192
142	Victor	2,889	Izabella	2,191
143	Jonah	2,863	Amy	2,190
144	Patrick	2,861	Michelle	2,177
145	Marcus	2,801	Skylar	2,154
146	Rylan	2,756	Stephanie	2,145
147	Emmanuel	2,669	Juliana	2,125
148	Edward	2,660	Rebecca	2,111
149	Leonardo	2,640	Jayla	2,083
150	Cayden	2,567	Eleanor	2,081
151	Grant	2,539	Clara	2,073
152	Jeremy	2,520	Giselle	2,036
153	Braxton	2,509	Vivian	2,021
154	Gage	2,500	Valentina	2,017
155	Jude	2,474	Eliana	2,009
156	Wesley	2,469	Alaina	1,998
157	Roman	2,461	Aria	1,979
158	Devin	2,458	Valerie	1,954
159	Mark	2,425	Haley	1,947
160	Camden	2,407	Elena	1,935
161	Kaiden	2,401	Catherine	1,934
162	Oscar	2,374	Elise	1,934
163	Malachi	2,340	Lila	1,920
164	Alan	2,339	Megan	1,910
165	George	2,315	Gabriela	1,908
166	Peyton	2,291	Jada	1,893
167	Leo	2,245	Daisy	1,890
168	Nicolas	2,238	Penelope	1,870
169	Maddox	2,216	Daniela	1,869
170	Kenneth	2,206	Jenna	1,838
171	Mateo	2,202	Ashlyn	1,830
172	Sawyer	2,177	Delilah	1,827
173	Cody	2,173	Summer	1,811
174	Collin	2,173	Mila	1,797
175	Conner	2,169	Kate	1,790
176	Declan	2,163	Keira	1,787
177	Lincoln	2,158	Adrianna	1,773
178	Andres	2,157	Hadley	1,758
179	Bradley	2,156	Julianna	1,734
180	Trevor	2,142	Eden	1,730
181	Derek	2,137	Maci	1,730
182	Tanner	2,131	Josephine	1,727
183	Silas	2,106	Aurora	1,722
184	Seth	2,086	Melissa	1,705
185	Eduardo	2,082	Alana	1,699
186	Paul	2,067	Margaret	1,698
187	Jaiden	2,065	Hayden	1,692
188	Jorge	2,041	Quinn	1,689
189	Cristian	2,004	Angela	1,670
190	Garrett	1,939	Alivia	1,665
191	Travis	1,936	Katie	1,665
192	Abraham	1,933	Brynn	1,664
193	Omar	1,886	Ryleigh	1,644
194	Javier	1,881	Paisley	1,640
195	Ezekiel	1,864	Kinley	1,637
196	Tucker	1,838	Jordan	1,634
197	Peter	1,832	Aniyah	1,584
198	Harrison	1,828	Allie	1,574
199	Damien	1,824	Miranda	1,567
200	Greyson	1,794	Willow	1,567
201	Avery	1,789	Jacqueline	1,559
202	Kai	1,784	Melody	1,557
203	Ezra	1,754	Cora	1,549
204	Weston	1,747	Diana	1,543
205	Xander	1,724	Alexandria	1,525
206	Jaylen	1,721	Mikayla	1,521
207	Corbin	1,710	Danielle	1,498
208	Calvin	1,706	Londyn	1,486
209	Fernando	1,704	Addyson	1,479
210	Francisco	1,659	Amaya	1,479
211	Jameson	1,657	Hazel	1,478
212	Maximus	1,647	Callie	1,473
213	Josue	1,638	Angel	1,471
214	Shane	1,635	Teagan	1,469
215	Chance	1,629	Adalyn	1,465
216	Ricardo	1,628	Ximena	1,464
217	Trenton	1,617	Kinsley	1,458
218	Cesar	1,610	Shelby	1,455
219	Israel	1,608	Makenna	1,450
220	Emmett	1,606	Ariel	1,435
221	Drake	1,605	Jillian	1,430
222	Zane	1,605	Chelsea	1,424
223	Jayce	1,600	Harmony	1,415
224	Mario	1,597	Amanda	1,409
225	Landen	1,589	Alayna	1,406
226	Spencer	1,581	Sienna	1,403
227	Griffin	1,578	Presley	1,394
228	Kingston	1,574	Tessa	1,388
229	Stephen	1,573	Maggie	1,387
230	Theodore	1,567	Hope	1,386
231	Manuel	1,553	Leila	1,374
232	Erick	1,542	Genevieve	1,362
233	Braylon	1,531	Erin	1,351
234	Raymond	1,522	Esther	1,347
235	Edwin	1,520	Briana	1,338
236	Charlie	1,519	Delaney	1,337
237	Myles	1,508	Kathryn	1,333
238	Abel	1,504	Mckenna	1,332
239	Andre	1,493	Ana	1,328
240	Johnathan	1,493	Lucia	1,325
241	Bennett	1,487	Camille	1,316
242	Alexis	1,482	Cecilia	1,315
243	Edgar	1,465	Lola	1,312
244	Troy	1,456	Leilani	1,300
245	Zion	1,453	Leslie	1,285
246	Jeffrey	1,436	Ashlynn	1,284
247	Shawn	1,420	Kayleigh	1,282
248	Hector	1,412	Juliet	1,275
249	Lukas	1,385	Carly	1,274
250	Amir	1,383	Alondra	1,273
251	Tyson	1,379	Haylee	1,273
252	Keegan	1,368	Alison	1,271
253	Kyler	1,365	Lexi	1,270
254	Donovan	1,362	Kelsey	1,262
255	Simon	1,358	Eliza	1,256
256	Graham	1,356	Josie	1,243
257	Clayton	1,342	Marissa	1,238
258	Braden	1,341	Marley	1,233
259	Everett	1,341	Amber	1,232
260	Luca	1,339	Sabrina	1,228
261	Emanuel	1,318	Alicia	1,227
262	Martin	1,315	Kaydence	1,218
263	Brendan	1,311	Norah	1,217
264	Cash	1,309	Allyson	1,210
265	Zander	1,300	Fiona	1,210
266	Dante	1,299	Ivy	1,210
267	Jared	1,298	Alina	1,209
268	Kameron	1,294	Isla	1,207
269	Ryker	1,292	Nadia	1,181
270	Dominick	1,291	Christina	1,178
271	Lane	1,291	Emery	1,171
272	Elliot	1,286	Kyleigh	1,170
273	Paxton	1,282	Laura	1,166
274	Rafael	1,274	Cheyenne	1,156
275	Andy	1,269	Emerson	1,150
276	Dalton	1,267	Alexia	1,147
277	Erik	1,264	Sierra	1,146
278	Gregory	1,263	Cadence	1,144
279	Sergio	1,263	Luna	1,144
280	Marco	1,255	Daniella	1,141
281	Jasper	1,248	Fatima	1,129
282	Johnny	1,247	Cassidy	1,123
283	Emiliano	1,243	Bianca	1,118
284	Dean	1,235	Veronica	1,113
285	Drew	1,232	Kyla	1,109
286	Judah	1,225	Evangeline	1,108
287	Caiden	1,222	Adeline	1,103
288	Skyler	1,217	Karen	1,102
289	Aden	1,202	Mallory	1,096
290	Maximiliano	1,199	Rose	1,093
291	Fabian	1,197	Jazmine	1,091
292	Zayden	1,187	Jayden	1,069
293	Brennan	1,176	Kendra	1,068
294	Anderson	1,143	Camryn	1,064
295	Roberto	1,130	Dakota	1,064
296	Quinn	1,129	Macy	1,062
297	Reid	1,122	Mariana	1,062
298	Angelo	1,120	Abby	1,059
299	Holden	1,114	Adelyn	1,056
300	Cruz	1,097	Gia	1,056
301	Derrick	1,094	Madilyn	1,056
302	Finn	1,090	Jazmin	1,052
303	Emilio	1,089	Iris	1,051
304	Grady	1,089	Nina	1,046
305	Elliott	1,066	Georgia	1,044
306	Amari	1,052	Lilah	1,042
307	Pedro	1,048	Breanna	1,023
308	Rowan	1,046	Jayda	1,023
309	Frank	1,044	Kenzie	1,023
310	Felix	1,030	Phoebe	1,022
311	Lorenzo	1,029	Lilliana	1,013
312	Dakota	1,027	Malia	1,009
313	Colby	1,024	Athena	1,006
314	Corey	1,022	Kamryn	1,005
315	Dawson	1,011	Nyla	998
316	Braylen	1,009	Miley	990
317	Allen	998	Heaven	986
318	Brycen	996	Audrina	983
319	Ty	991	Kiara	982
320	Jax	989	Selena	981
321	Brantley	985	Madeleine	980
322	Malik	985	Maddison	977
323	Ruben	975	Lyric	975
324	Trey	969	Emilia	972
325	Brock	961	Giuliana	972
326	Dallas	956	Joanna	972
327	Colt	952	Annabella	966
328	Joaquin	949	Adalynn	965
329	Leland	941	Fernanda	961
330	Beckett	937	Aubrie	956
331	Jett	924	Heidi	951
332	Louis	919	Esmeralda	944
333	Gunner	908	Kira	944
334	Adan	905	Kelly	941
335	Jakob	905	Arabella	940
336	Taylor	899	Miriam	940
337	Cohen	896	Elliana	939
338	Marshall	891	Kara	935
339	Arthur	890	Karina	933
340	Marcos	890	Crystal	932
341	Ronald	886	Paris	932
342	Julius	883	Raegan	930
343	Armando	879	Caitlyn	929
344	Kellen	879	Alejandra	928
345	Brooks	877	Tatum	927
346	Dillon	875	Savanna	924
347	Cade	866	Ayla	919
348	Nehemiah	866	Carmen	916
349	Danny	862	Tiffany	916
350	Devon	851	Bethany	914
351	Beau	850	Maliyah	912
352	Jayson	849	Guadalupe	908
353	Tristen	848	Karla	908
354	Enrique	844	Gemma	907
355	Desmond	841	Kailey	905
356	Randy	841	Macie	904
357	Pablo	838	Noelle	904
358	Milo	836	Rylie	898
359	Gerardo	835	Ruth	897
360	Raul	834	Lena	896
361	Romeo	834	Elaina	895
362	Titus	821	Ainsley	890
