Rank	MName	#males	FName	#females
1	Noah	19,229	Emma	20,886
2	Liam	18,421	Olivia	19,761
3	Mason	17,157	Sophia	18,563
4	Jacob	16,812	Isabella	17,027
5	William	16,776	Ava	15,660
6	Ethan	15,691	Mia	13,484
7	Michael	15,400	Emily	12,622
8	Alexander	15,362	Abigail	12,049
9	James	14,383	Madison	10,291
10	Daniel	13,887	Charlotte	10,094
11	Elijah	13,763	Harper	9,601
12	Benjamin	13,761	Sofia	9,576
13	Logan	13,615	Avery	9,552
14	Aiden	13,365	Elizabeth	9,537
15	Jayden	12,923	Amelia	8,770
16	Matthew	12,866	Evelyn	8,734
17	Jackson	12,183	Ella	8,525
18	David	12,159	Chloe	8,507
19	Lucas	12,132	Victoria	7,981
20	Joseph	12,080	Aubrey	7,616
21	Anthony	11,538	Grace	7,602
22	Andrew	11,124	Zoey	7,384
23	Samuel	10,948	Natalie	7,089
24	Gabriel	10,881	Addison	6,974
25	Joshua	10,843	Lillian	6,898
26	John	10,659	Brooklyn	6,791
27	Carter	10,647	Lily	6,760
28	Luke	10,480	Hannah	6,551
29	Dylan	10,394	Layla	6,442
30	Christopher	10,322	Scarlett	5,994
31	Isaac	9,938	Aria	5,912
32	Oliver	9,411	Zoe	5,857
33	Henry	9,406	Samantha	5,709
34	Sebastian	9,281	Anna	5,663
35	Caleb	9,187	Leah	5,590
36	Owen	9,135	Audrey	5,555
37	Ryan	9,056	Ariana	5,478
38	Nathan	8,937	Allison	5,456
39	Wyatt	8,847	Savannah	5,455
40	Hunter	8,791	Arianna	5,255
41	Jack	8,726	Camila	5,211
42	Christian	8,429	Penelope	5,078
43	Landon	8,205	Gabriella	5,071
44	Jonathan	8,075	Claire	5,007
45	Levi	8,013	Aaliyah	4,871
46	Jaxon	7,675	Sadie	4,849
47	Julian	7,648	Riley	4,782
48	Isaiah	7,583	Skylar	4,757
49	Eli	7,469	Nora	4,731
50	Aaron	7,368	Sarah	4,682
51	Charles	7,315	Hailey	4,603
52	Connor	7,215	Kaylee	4,535
53	Cameron	7,036	Paisley	4,489
54	Thomas	7,002	Kennedy	4,482
55	Jordan	6,834	Ellie	4,468
56	Jeremiah	6,829	Peyton	4,441
57	Nicholas	6,744	Annabelle	4,343
58	Evan	6,694	Caroline	4,337
59	Adrian	6,675	Serenity	4,309
60	Robert	6,612	Madelyn	4,303
61	Gavin	6,603	Lucy	4,286
62	Brayden	6,560	Aubree	4,266
63	Grayson	6,556	Alexa	4,243
64	Josiah	6,414	Nevaeh	4,213
65	Colton	6,368	Alexis	4,208
66	Austin	6,295	Stella	4,185
67	Angel	6,284	Violet	4,172
68	Jace	6,276	Genesis	4,155
69	Dominic	6,228	Mackenzie	4,142
70	Kevin	5,877	Bella	4,067
71	Brandon	5,829	Autumn	4,051
72	Tyler	5,811	Mila	4,047
